benchmark,status-ikos,cputime (s)-ikos,walltime (s)-ikos,memory (MB)-ikos,status-mikos,cputime (s)-mikos,walltime (s)-mikos,memory (MB)-mikos,memreduction,speedup,status-baseline,cputime (s)-baseline,walltime (s)-baseline,memory (MB)-baseline,vanillabaseline,baselineours
OSS/dhcp-4.4.1/dhcpd.bc,OK,33.39358465,33.99212788,1037.733888,OK,27.82670063,28.27226559,1007.673344,0.9710325119,1.202313546,OK,31.87454225,32.42826345,1037.950976,1.000209194,0.97082942
OSS/dhcp-4.4.1/dhcrelay.bc,OK,28.96887436,29.32007045,932.950016,OK,25.04132881,25.49949212,896.770048,0.9612198217,1.149829585,OK,27.55389622,28.11212894,930.889728,0.9977916416,0.9633472376
OSS/dhcp-4.4.1/omshell.bc,OK,27.53891223,28.42405071,915.587072,OK,23.38453877,23.4044015,894.459904,0.976925004,1.214474581,OK,27.04505268,27.7360797,913.67424,0.9979108137,0.9789702553
OSS/dhcpcd-7.0.8/dhcpcd.bc,OK,1370.014262,1370.164298,16001.64659,OK,1386.076459,1386.14014,3998.613504,0.2498876276,0.9884745837,OK,1392.695362,1392.908285,14434.24256,0.9020473286,0.2770227456
OSS/dialog-1.3_20190211/dialog.bc,OK,6.40601226,6.499730594,133.926912,OK,6.412504865,6.504384952,82.681856,0.6173655075,0.9992844277,OK,6.90858363,6.988111804,132.15744,0.9867877787,0.6256314892
OSS/dictd-1.12.1/dict.bc,OK,12.66782071,12.68856677,110.473216,OK,12.95226629,13.00817853,52.310016,0.4735085833,0.9754299373,OK,13.02063679,13.08419535,107.020288,0.9687442067,0.4887859767
OSS/dictd-1.12.1/dictd.bc,OK,107.3540195,107.4286399,709.251072,OK,113.2170359,113.3002105,248.336384,0.3501388913,0.9481768779,OK,110.4575553,110.6162983,702.1568,0.9899975167,0.3536765349
OSS/dictd-1.12.1/dictfmt.bc,OK,25.35604179,25.37659399,537.186304,OK,25.80516617,25.82427937,185.143296,0.3446537907,0.9826641676,OK,27.05750674,27.10432064,523.145216,0.9738617908,0.3539042131
OSS/distcc-3.3.2/distcc.bc,OK,24.51905438,24.61221297,562.597888,OK,22.64523186,22.71632297,117.907456,0.2095767839,1.08345937,OK,23.60702829,23.70432735,610.619392,1.085356709,0.1930948436
OSS/distcc-3.3.2/distccd.bc,OK,8.420340647,8.448187307,186.937344,OK,7.272544465,7.316659847,81.444864,0.4356800105,1.154650822,OK,7.890158402,7.920430503,197.824512,1.058239663,0.4117025902
OSS/dmtcp-2.5.2/mtcp_restart.bc,OK,27.00371034,27.34817458,593.543168,OK,24.49159847,24.51213819,95.096832,0.1602188975,1.115699266,OK,26.68784024,26.74443093,571.203584,0.9623623264,0.1664850058
OSS/dnstracer-1.9/dnstracer.bc,OK,7.216365149,7.264050763,113.057792,OK,6.957622818,6.97640372,96.305152,0.8518223317,1.041231422,OK,6.991434952,7.01257742,108.81024,0.9624302587,0.8850743459
OSS/dosfstools-4.1/fsck.fat.bc,OK,71.88010841,71.92813231,708.554752,OK,68.86898898,68.99225591,303.67744,0.4285871193,1.042553709,OK,71.10148929,71.14822723,680.841216,0.9608872343,0.4460326914
OSS/dropbear-2019.78/dbclient.bc,OK,1106.55063,1106.636116,1342.107648,OK,1049.164838,1049.324482,943.73888,0.7031767395,1.054617647,OK,1060.557711,1060.612279,1309.581312,0.9757647339,0.7206416825
OSS/dropbear-2019.78/dropbear.bc,OK,2342.186143,2342.307952,5189.644288,OK,2309.838423,2310.044076,1050.84928,0.2024896547,1.013966779,OK,2285.157777,2285.716656,5131.902976,0.9888737438,0.2047679555
OSS/dropbear-2019.78/dropbearconvert.bc,OK,19.75669239,19.7794707,323.751936,OK,18.96593112,19.03614331,67.072,0.2071709619,1.039048214,OK,20.27293966,20.69652882,306.855936,0.9478118951,0.2185781409
OSS/dropbear-2019.78/dropbearkey.bc,OK,33.65821444,33.67652106,296.943616,OK,33.17634229,33.01614178,66.445312,0.2237640697,1.02000171,OK,36.668369,36.73616038,286.22848,0.9639152505,0.2321408128
OSS/dvdauthor-0.7.2/mpeg2desc.bc,OK,9.282351163,9.351999823,78.848,OK,7.897122252,7.924370878,67.432448,0.8552207792,1.180156755,OK,9.15595129,9.208169434,74.141696,0.9403116883,0.909507762
OSS/dvdauthor-0.7.2/spumux.bc,OK,224.2648935,224.1440853,430.125056,OK,200.4913361,200.5640781,212.750336,0.4946243727,1.117568447,OK,217.6389241,217.3961535,393.740288,0.9154088619,0.5403316411
OSS/dvdauthor-0.7.2/spuunmux.bc,OK,7.591835218,7.636269955,64.282624,OK,7.034735957,7.088206232,44.781568,0.6966356569,1.07732051,OK,7.503750195,7.596187553,65.384448,1.017140308,0.6848963227
OSS/dvtm-0.15/dvtm.bc,OK,37.85273846,37.89209794,403.29216,OK,37.7714915,37.81630868,181.645312,0.4504062563,1.002004142,OK,37.94105611,37.96031833,360.411136,0.8936725574,0.5039947267
OSS/dwdiff-2.1.2/dwdiff.bc,OK,8.224368896,8.240125774,100.225024,OK,7.287637393,7.347971764,57.786368,0.5765662675,1.121415002,OK,7.865710343,7.915773365,97.968128,0.9774817116,0.5898486496
OSS/e2fsprogs-1.45.0/e2fsck.bc,OK,1268.694602,1268.832075,11705.1351,OK,1328.62466,1328.800162,10037.71085,0.8575476284,0.9548705002,OK,1282.001458,1282.248299,11234.12378,0.959760283,0.8935018921
OSS/e2fsprogs-1.45.0/mke2fs.bc,OK,42.10137802,42.12444649,586.809344,OK,43.7107247,43.84829479,68.530176,0.116784398,0.9606860813,OK,41.97164186,42.06839411,557.993984,0.9508948515,0.1228152596
OSS/ecl-16.1.3/dpp.bc,OK,43.99394924,44.22465306,269.922304,OK,41.12986564,41.20430135,244.723712,0.9066450174,1.073301855,OK,45.34228053,45.39636951,260.452352,0.9649160078,0.9396102977
OSS/ecl-16.1.3/ecl_min.bc,OK,20.39419298,20.53196194,435.417088,OK,20.44933436,20.49614197,405.028864,0.9302089311,1.001747644,OK,19.70329228,19.98830823,435.392512,0.9999435576,0.9302614373
OSS/engrampa-1.22.0/engrampa-server.bc,OK,17.75439251,17.93626503,118.120448,OK,17.18999628,17.24446174,117.84192,0.9976420001,1.040117419,OK,16.84945736,17.05638791,118.575104,1.003849088,0.9938167121
OSS/engrampa-1.22.0/engrampa.bc,OK,17.9486944,18.22035508,121.688064,OK,17.80687089,17.88407252,119.934976,0.9855935912,1.018803466,OK,16.86642067,17.08884908,121.888768,1.001649332,0.983970697
OSS/enigma-1.04/enigma.bc,OK,24.15056375,24.18423751,72.04864,OK,21.05500613,21.10832935,56.373248,0.7824332007,1.145720114,OK,21.87156594,21.80047646,70.189056,0.9741898806,0.8031629318
OSS/enscript-1.6.6/enscript.bc,OK,23.71493141,23.77203487,530.915328,OK,20.0339135,20.05602577,155.090944,0.2921199216,1.185281428,OK,22.41823232,22.46448526,531.74272,1.001558426,0.2916653828
OSS/enscript-1.6.6/mkafmmap.bc,OK,20.15138018,20.20015705,140.10368,OK,18.61886983,18.64812607,115.666944,0.8255810554,1.083227182,OK,19.44990121,19.5003829,135.606272,0.9678994299,0.8529616093
OSS/ethtool-5.0/ethtool.bc,OK,15.46282546,15.5924881,528.306176,OK,13.00045809,13.02406091,178.745344,0.3383366542,1.197206325,OK,14.29274424,14.36458702,507.510784,0.9606376133,0.3522000904
